06-07 Harvest 
,Area Name,Date,# of Hunters,# of Ducks,# of Waterfowl,Average Ducks,Average Geese,Average Waterfowl,#1 Duck Harvest,#2 Duck Harvest,#1 Duck Species,#2 Duck Species,
,GRIZZLY ISLAND,12/6,100,234,238,2.34,0.04,2.38,103,41,GWTL,SHOV,
,GRIZZLY ISLAND,12/9,196,1103,1112,5.63,,5.67,872,87,SHOV,GWTL,
,GRIZZLY ISLAND,12/10,112,67,67,0.60,,0.60,22,17,SHOV,GWTL,
,JOICE ISLAND,12/10,11,18,18,1.64,,1.64,8,6,MALI LL,CINT,
,HONEY LAKE-DAKIN,12/6,29,48,51,1.66,0.10,1.76,26,11,MALL,GWTL,
,HONEY LAKE-DAKIN,12/9,56,55,72,0.98,0.30,1.29,30,8,MALL,GWTL,
,HONEY LAKE-DAKIN,12/10,26,31,35,1.19,0.15,1.35,16,5,MALL,PNTL,
,HONEY LAKE-FLEMING,12/6,42,4,6,0.10,0.05,0.14,2,1,MALL,AMWI,
,HONEY LAKE-FLEMING,12/9,29,51,53,1.76,10.07,1.83,37,8,MALL,GADW,
,HONEY LAKE-FLEMING,12/10,24,25,25,1.04,,1.04,16,4,MALL,PNTL,
,HOWARD SLOUGH (UBB),12/6,36,80,81,2.22,0.03,2.25,32,19,MALL,SHOV,
,HOWARD SLOUGH (UBB),12/9,76,174,176,2.29,0.03,2.32,72,35,GWTL,MALL,
,HOWARD SLOUGH (UBB),12/10,56,98,99,1.75,0.02,1.77,29,19,MALL,GWTL,
,KERN,12/6,87,221,222,2.54,,2.55,71,51,SHOV,GADW,
,KERN,12/9,124,285,285,2.30,,2.30,81,53,SHOV,GWTL,
,KERN,12/10,0,0,0,,,,0,0,,,
,KESTERSON,12/6,45,85,91,1.89,,2.02,54,10,GWTL,SHOV,
,KESTERSON,12/9,63,128,129,2.03,,2.05,71,25,GWTL,SHOV,
,KESTERSON,12/10,57,54,55,0.95,,0.96,19,9,GWTL,MALL,
,LITTLE DRY CR. (UBB),12/6,81,247,253,3.05,0.07,3.12,108,32,MALL,AMWI,
,LITTLE DRY CR. (UBB),12/9,118,320,326,2.71,0.05,2.76,115,64,MALL,GWTL,
,LITTLE DRY CR. (UBB),12/10,78,198,201,2.54,0.04,2.58,83,26,MALL,AMWI,
,LLANO SECO (UBB),12/6,37,48,48,1.30,,1.30,14,13,MALL,AMW,
,LLANO SECO (UBB),12/9,85,177,182,2.08,0.06,2.14,64,40,GWTL,MALL,
,LLANO SECO (UBB),12/10,51,131,133,2.57,,2.61,47,22,MALL,AMWI,
,LOS BANOS,12/6,62,122,129,1.97,0.11,2.08,46,37,MALL,GWTL,
,LOS BANOS,12/9,153,224,227,1.46,0.02,1.48,63,63,MALL,GWTL,
,LOS BANOS,12/10,118,98,104,0.83,0.008,0.88,37,23,GWTL,MALL,
,MENDOTA,12/6,140,174,177,1.24,0.01,1.26,37,34,GWTL,SHOV,
,MENDOTA,12/9,326,455,455,1.40,,1.40,151,94,GWTL,MALL,
,MENDOTA,12/10,153,99,102,0.65,,0.67,23,18,MALL,GWTL,
,MERCED,12/6,28,65,67,2.32,0.07,2.39,18,16,MALL,GWTL,
,MERCED,12/9,35,84,84,2.40,,2.40,32,12,MALL,SHOV,
,NORTH FRIETAS,12/6,18,63,63,3.50,,3.50,48,14,GWTL,MALL,
,NORTH FRIETAS,12/9,32,87,87,2.72,,2.72,58,23,GWTL,MALL,
,NORTH FRIETAS,12/10,12,22,22,1.83,,1.83,14,5,GWTL,MALL,
,SOUTH FRIETAS,12/6,7,6,6,0.86,,0.86,3,2,GWTL,MALL,
,SOUTH FRIETAS,12/9,14,50,50,3.57,,3.57,29,13,GWTL,MALL,
,SOUTH FRIETAS,12/10,11,30,30,2.73,,2.73,24,4,GWTL,MALL,
,SALT SLOUGH (NO.GL),12/6,22,46,46,2.09,,2.09,13,13,MALL,GWTL,
,SALT SLOUGH (NO.GL),12/9,81,97,97,1.20,,1.20,55,19,MALL,GWTL,
,SALT SLOUGH (NO.GL),12/10,51,56,56,1.10,,1.10,22,17,MALL,GWTL,
,SACRAMENTO,12/6,108,182,194,1.69,0.10,1.80,53,45,MALL,SHOV,
,SACRAMENTO,12/9,170,156,197,0.92,0.22,1.16,39,33,SHOV,MALL,
,SACRAMENTO,12/10,209,279,336,1.33,0.10,1.61,58,52,SHOV,MALL,
,SAN LUIS,12/6,41,149,149,3.63,,3.63,110,16,GWTL,MALL,
,SAN LUIS,12/9,134,318,320,2.37,,2.39,219,32,GWTL,MALL,
,SAN LUIS,12/10,79,147,148,1.86,,1.87,83,36,GWTL,MALL,
,SHASTA VALLEY,12/6,14,42,42,3.00,,3.00,28,4,MALL,GWTL,
,SHASTA VALLEY,12/9,34,58,64,1.71,0.18,1.88,36,6,MALL,AMWI,
,SHASTA VALLEY,12/10,30,16,37,0.53,0.10,1.23,4,2,MALL,AMWI,
,SUTTER,12/6,59,100,100,1.69,,1.69,39,16,MALL,AMWI,
,SUTTER,12/9,107,83,102,0.78,0.18,0.95,24,16,MALL,AMWI,
,SUTTER,12/10,86,118,119,1.37,0.01,1.38,34,25,MALL,SHOV,
,VOLTA,12/6,34,40,113,1.18,,3.32,12,9,GWTL,MALL,
,VOLTA,12/9,55,123,177,2.24,0.07,3.22,45,29,GWTL,MALL,
,VOLTA,12/10,20,11,61,0.55,,3.05,5,2,CINT,GWTL,
,WILLOW CREEK,12/6,5,9,9,1.80,,1.80,3,3,MALL,AMWI,
,WILLOW CREEK,12/9,4,11,11,2.75,,2.75,7,2,MALL,AMWI,
,WILLOW CREEK,12/10,4,13,13,3.25,,3.25,6,5,MALL,GADW,
,WISTER,12/6,87,413,441,4.75,0.31,5.07,100,98,GWTL,AMWI,
,WISTER,12/9,253,822,861,3.25,0.15,3.40,287,165,GWTL,AMWI,
,WISTER,12/10,147,196,227,1.33,0.20,1.54,51,47,GWTL,SHOV,
,YOLO,12/6,107,133,138,1.24,0.04,1.29,37,23,RUDD,SHOV,
,YOLO,12/9,138,226,234,1.64,0.02,1.70,52,46,GWTL,RUDD,
,YOLO,12/10,111,68,72,0.61,0.04,0.65,13,10,GWTL,BUFH,
,WEST BEAR CREEK,12/6,16,75,76,4.69,0.06,4.75,58,7,GWTL,MALL,
,WEST BEAR CREEK,12/9,40,69,72,1.73,,1.80,27,19,GWTL,MALL,
,WEST BEAR CREEK,12/10,27,67,68,2.48,0.04,2.52,29,21,MALL,GWTL,
,CHINA ISLAND (NO.GL),12/13,21,45,45,2.14,,2.14,12,11,GWTL,MALL,
,CHINA ISLAND (NO.GL),12/16,49,35,38,0.71,,0.78,12,7,MALL,GWTL,
,CHINA ISLAND (NO.GL),12/17,17,12,12,0.71,,0.71,6,5,MALL,GWTL,
,ASH CREEK,12/13,8,10,13,1.25,0.38,1.63,4,3,AMWI,MALL,
,ASH CREEK,12/16,16,11,15,0.69,0.25,0.94,7,2,MALL,GWTL,
,ASH CREEK,12/17,8,3,5,0.38,0.25,0.63,2,1,PNTL,AMWI,
,DELEVAN,12/13,169,431,444,2.55,0.08,2.63,122,105,GADW,SHOV,
,DELEVAN,12/16,132,447,458,3.39,0.08,3.47,131,113,GADW,SHOV,
,DELEVAN,12/17,163,291,303,1.79,0.04,1.86,81,56,SHOV,GADW,
,BUTTE VALLEY,12/13,24,21,35,0.88,0.58,1.46,12,4,MALL,PNTL,
,BUTTE VALLEY,12/16,29,40,64,1.38,0.83,2.21,14,13,MALL,PNTL,
,BUTTE VALLEY,12/17,3,2,2,0.67,,0.67,1,1,MALL,PNTL,
,FINNEY-RAMER,12/13,1,3,3,3.00,,3.00,3,0,GWTL,,
,FINNEY-RAMER,12/15,5,7,7,1.40,,1.40,3,2,GWTL,CINT,
,FINNEY-RAMER,12/16,5,9,9,1.80,,1.80,5,4,GWTL,SHOV,
,FINNEY-RAMER,12/17,2,4,4,2.00,,2.00,3,1,GWTL,SHOV,
,COLUSA,12/13,69,136,138,1.97,0.03,2.00,57,23,GADW,SHOV,
,COLUSA,12/16,101,289,291,2.86,0.02,2.88,91,55,GADW,GWTL,
,COLUSA,12/17,77,101,105,1.31,0.05,1.36,36,20,GADW,GWTL,
,GADWALL (NO.GL),12/13,35,101,101,2.89,,2.89,46,15,GWTL,SHOV,
,GADWALL (NO.GL),12/16,30,130,130,4.33,,4.33,88,14,GWTL,SHOV,
,GADWALL (NO.GL),12/17,34,51,51,1.50,,1.50,38,4,GWTL,SHOV,
,GOLD HILLS,12/13,4,0,0,,,,0,0,,,
,GOLD HILLS,12/16,0,0,0,,,,0,0,,,
,GOLD HILLS,12/17,0,0,0,,,,0,0,,,
,GOODYEAR SLOUGH,12/13,3,0,0,,,,0,0,,,
,GOODYEAR SLOUGH,12/16,3,7,7,2.33,,2.33,3,2,GWTL,AMWI,
,GOODYEAR SLOUGH,12/17,3,0,0,,,,0,0,,,
,GRAY LODGE,12/13,155,214,232,1.38,0.04,1.50,52,44,MALL,SHOV,
,GRAY LODGE,12/16,267,360,404,1.35,0.02,1.51,108,76,MALL,AMWI,
,GRAY LODGE,12/17,151,207,241,1.37,0.14,1.60,39,35,SHOV,AMWI,
,GRIZZLY ISLAND,12/13,111,191,193,1.72,0.02,1.74,42,41,SHOV,GWTL,
,GRIZZLY ISLAND,12/16,199,255,255,1.28,,1.28,76,62,GWTL,AMWI,
,GRIZZLY ISLAND,12/17,73,55,55,0.75,,0.75,18,13,AMWI,PNTL,
,JOICE ISLAND,12/17,5,4,5,0.80,0.20,1.00,3,1,MALL,CINT,
,HONEY LAKE-DAKIN,12/13,33,39,64,1.18,0.76,1.94,29,4,MALL,AMWI,
,HONEY LAKE-DAKIN,12/16,46,106,133,2.30,0.59,2.89,33,24,AMWI,MALL,
,HONEY LAKE-DAKIN,12/17,18,18,24,1.00,0.33,1.33,9,6,MALL,PNTL,
,HONEY LAKE-FLEMING,12/13,38,57,63,1.50,0.16,1.66,34,10,MALL,PNTL,
,HONEY LAKE-FLEMING,12/16,36,62,73,1.72,0.31,2.03,36,16,MALL,PNTL,
,HONEY LAKE-FLEMING,12/17,17,9,16,0.53,0.41,0.94,6,2,MALL,PNTL,
,HOWARD SLOUGH (UBB),12/13,55,124,124,2.25,,2.25,42,29,MALL,AMWI,
,HOWARD SLOUGH (UBB),12/16,77,127,137,1.65,0.13,1.78,48,33,MALL,AMWI,
,HOWARD SLOUGH (UBB),12/17,37,37,38,1.00,,1.03,9,8,SHOV,AMWI,
,KERN,12/13,104,267,294,2.57,,2.83,56,51,SHOV,GADW,
,KERN,12/16,163,438,438,2.69,,2.69,122,95,SHOV,GADW,
,ISLAND SLOUGH,12/13,11,11,11,1.00,,1.00,2,2,GWTL,CANV,
,ISLAND SLOUGH,12/16,16,9,11,0.56,0.06,0.69,3,2,SHOV,MALL,
,ISLAND SLOUGH,12/17,11,13,14,1.18,,1.27,5,2,RUDD,MALL,
,KESTERSON,12/13,61,148,148,2.43,,2.43,82,19,GWTL,SHOV,
,KESTERSON,12/16,79,101,101,1.28,,1.28,30,16,GWTL,MALL,
,KESTERSON,12/17,52,17,20,0.33,,0.38,8,3,GWTL,MALL,
,LITTLE DRY CR. (UBB),12/13,86,249,252,2.90,0.03,2.93,104,33,MALL,GWTL,
,LITTLE DRY CR. (UBB),12/16,95,235,237,2.47,0.02,2.49,83,55,MALL,AMWI,
,LITTLE DRY CR. (UBB),12/17,86,229,230,2.66,0.01,2.67,64,59,MALL,AMWI,
,LLANO SECO (UBB),12/13,60,103,105,1.72,0.03,1.75,50,14,GWTL,AMWI,
,LLANO SECO (UBB),12/16,71,163,163,2.30,,2.30,53,51,MALL,AMWI,
,LLANO SECO (UBB),12/17,25,58,59,2.32,,2.36,17,14,MALL,AMWI,
,LOS BANOS,12/13,75,163,163,2.17,,2.17,75,25,GWTL,MALL,
,LOS BANOS,12/16,164,373,380,2.27,0.04,2.32,139,72,GWTL,MALL,
,LOS BANOS,12/17,92,57,59,0.62,0.01,0.64,19,16,GWTL,MALL,
,MENDOTA,12/13,173,289,294,1.67,,1.70,133,45,GWTL,MALL,
,MENDOTA,12/16,349,426,430,1.22,0.01,1.23,164,63,GWTL,SHOV,
,MENDOTA,12/17,148,103,104,0.70,0.007,0.70,29,27,GWTL,MALL,
,MERCED,12/13,28,55,57,1.96,0.07,2.04,15,13,GWTL,SHOV,
,MERCED,12/16,35,62,76,1.77,0.40,2.17,21,16,MALL,GWTL,
,NORTH FRIETAS,12/13,17,51,51,3.00,,3.00,24,19,MALL,GWTL,
,NORTH FRIETAS,12/16,22,21,21,0.95,,0.95,17,2,MALL,WDDU,
,NORTH FRIETAS,12/17,12,17,17,1.42,,1.42,8,8,MALL,GWTL,
,SOUTH FRIETAS,12/13,14,43,43,3.07,,3.07,22,20,MALL,GWTL,
,SOUTH FRIETAS,12/16,29,32,32,1.10,,1.10,19,8,GWTL,MALL,
,SOUTH FRIETAS,12/17,14,28,28,2.00,,2.00,12,7,MALL,GWTL,
,SALT SLOUGH (NO.GL),12/13,42,90,90,2.14,,2.14,50,26,GWTL,MALL,
,SALT SLOUGH (NO.GL),12/16,71,119,120,1.68,0.01,1.69,46,40,GWTL,MALL,
,SALT SLOUGH (NO.GL),12/17,37,41,41,1.11,,1.11,14,13,MALL,GWTL,
,SALTON SEA NWR,12/13,2,6,6,3.00,,3.00,2,2,GWTL,SHOV,
,SALTON SEA NWR,12/16,22,39,41,1.77,0.05,1.86,22,7,SHOV,GADW,
,SALTON SEA NWR,12/17,6,2,6,0.33,0.67,1.00,2,0,MALL,,
,SACRAMENTO,12/13,137,423,432,3.09,0.06,3.15,124,71,GADW,SHOV,
,SACRAMENTO,12/16,204,500,1522,2.45,0.11,2.56,199,97,GADW,MALL,
,SACRAMENTO,12/17,163,189,197,1.16,0.05,1.21,37,37,GADW,SHOV,
,SAN JACINTO,12/13,94,165,166,1.76,,1.77,86,25,SHOV,GWTL,
,SAN JACINTO,12/16,122,203,207,1.66,,1.70,87,42,SHOV,GWTL,
,SAN LUIS,12/13,81,241,241,2.98,,2.98,158,33,GWTL,MALL,
,SAN LUIS,12/16,115,238,241,2.07,,2.10,120,55,GWTL,MALL,
,SAN LUIS,12/17,75,114,115,1.52,,1.53,87,10,GWTL,AMWI,
,SHASTA VALLEY,12/13,28,71,72,2.54,0.04,2.57,35,9,MALL,GWTL,
,SHASTA VALLEY,12/16,26,94,99,3.62,0.19,3.81,30,19,MALL,RNDU,
,SHASTA VALLEY,12/17,32,15,16,0.47,0.03,0.50,7,3,RNDU,MALL,
,SUTTER,12/13,89,96,97,1.08,0.01,1.09,24,17,GWTL,MALL,
,SUTTER,12/16,87,204,204,2.34,,2.34,63,47,GWTL,AMWI,
,SUTTER,12/17,73,78,80,1.07,0.03,1.10,25,16,GWTL,AMWI,
,VOLTA,12/13,26,58,108,2.23,,4.15,18,18,GWTL,SHOV,
,VOLTA,12/16,61,81,138,1.33,,2.26,23,21,SHOV,MALL,
,VOLTA,12/17,12,8,8,0.67,,0.67,4,2,GWTL,AMWI,
,WILLOW CREEK,12/13,1,5,5,5.00,,5.00,2,2,MALL,SHOV,
,WILLOW CREEK,12/16,5,26,27,5.20,0.20,5.40,9,6,SHOV,AMWI,
,WILLOW CREEK,12/17,5,15,17,3.00,0.40,3.40,7,3,MALL,AMWI,
,WISTER,12/13,119,397,438,3.34,0.34,3.68,98,87,GWTL,SHOV,
,WISTER,12/16,270,684,725,2.53,0.14,2.69,251,155,GWTL,SHOV,
,WISTER,12/17,125,144,166,1.15,0.17,1.33,49,25,GWTL,SHOV,
,YOLO,12/13,111,123,133,1.11,,1.20,40,26,BUFH,GWTL,
,YOLO,12/16,123,162,171,1.32,0.03,1.39,60,23,GWTL,SHOV,
,YOLO,12/17,82,76,79,0.93,,0.96,25,14,GWTL,PNTL,
,WEST BEAR CREEK,12/13,35,69,69,1.97,,1.97,24,18,GWTL,MALL,
,WEST BEAR CREEK,12/16,42,40,42,0.95,,1.00,16,14,GWTL,MALL,
,WEST BEAR CREEK,12/17,21,41,41,1.95,,1.95,33,4,GWTL,MALL,
,WEST FAMILY JR UNIT,12/13,0,0,0,,,,0,0,,,
,WEST FAMILY JR UNIT,12/16,1,0,0,,,,0,0,,,
,WEST FAMILY JR UNIT,12/17,0,0,0,,,,0,0,,,
,DELEVAN,12/20,154,538,566,3.49,0.18,3.68,217,123,GADW,SHOV,
,DELEVAN,12/23,181,443,462,2.45,0.10,2.55,140,117,GADW,SHOV,
,DELEVAN,12/24,119,169,187,1.42,0.10,1.57,38,38,AMWI,SHOV,
,BUTTE VALLEY,12/20,7,1,2,0.14,0.14,0.29,1,0,AMWI,,
,BUTTE VALLEY,12/23,8,0,8,0.33,1.00,1.00,0,0,MALL,,
,BUTTE VALLEY,12/24,3,1,3,1.00,0.67,1.00,1,0,,,
,FINNEY-RAMER,12/20,,1,1,0.50,,0.50,1,0,GWTL,,
,FINNEY-RAMER,12/21,1,0,0,,,,0,0,,,
,FINNEY-RAMER,12/22,5,7,7,1.40,,1.40,4,2,GWTL,SHOV,
,FINNEY-RAMER,12/23,7,8,8,1.14,,1.14,6,2,GWTL,SHOV,
,FINNEY-RAMER,12/24,6,6,6,1.00,,1.00,3,2,GWTL,SHOV,
,COLUSA,12/20,89,333,337,3.74,0.04,3.79,163,49,GADW,GWTL,
,COLUSA,12/23,112,216,217,1.93,0.009,1.94,87,46,GADW,GWTL,
,COLUSA,12/24,35,98,100,2.80,0.06,2.86,40,23,GWTL,GADW,
,GADWALL (NO.GL),12/20,36,156,156,4.33,,4.33,103,18,GWTL,GADW,
,GADWALL (NO.GL),12/23,38,115,115,3.03,,3.03,55,33,GWTL,SHOV,
,GADWALL (NO.GL),12/24,15,61,61,4.07,,4.07,42,13,GWTL,SHOV,
,GRAY LODGE,12/20,150,311,361,2.07,0.31,2.41,91,61,MALL,SHOV,
,GRAY LODGE,12/23,232,415,442,1.79,0.04,1.91,126,78,MALL,AMWI,
,GRAY LODGE,12/24,106,196,236,1.85,0.15,2.23,43,32,MALL,AMWI,
,GRIZZLY ISLAND,12/20,125,217,232,1.74,0.05,1.86,57,54,AMWI,GWTL,
,GRIZZLY ISLAND,12/23,169,285,287,1.69,0.01,1.70,67,58,SHOV,AMWI,
,GRIZZLY ISLAND,12/24,55,57,57,1.04,,1.04,18,10,MALL,SHOV,
,JOICE ISLAND,12/24,9,,21,21,2.33,,2.33,15,6,MALL,GADW
,HONEY LAKE-DAKIN,12/20,28,8,14,0.29,0.21,0.50,4,2,MALL,SHOV,
,HONEY LAKE-DAKIN,12/23,29,6,12,0.21,0.21,0.41,4,2,MALL,PNTL,
,HONEY LAKE-DAKIN,12/24,11,11,19,1.00,0.73,1.73,6,2,MALL,GADW,
,HONEY LAKE-FLEMING,12/20,21,8,8,0.38,,0.38,5,2,PNTL,MALL,
,HONEY LAKE-FLEMING,12/23,31,11,19,0.35,0.26,0.61,4,3,MALL,WDDU,
,HONEY LAKE-FLEMING,12/24,14,4,4,0.29,,0.29,2,1,PNTL,MALL,
,HOWARD SLOUGH (UBB),12/20,59,92,94,1.56,0.03,1.59,33,15,MALL,PNTL,
,HOWARD SLOUGH (UBB),12/23,57,118,118,2.07,,2.07,40,20,MALL,AMWI,
,HOWARD SLOUGH (UBB),12/24,27,42,42,1.56,,1.56,13,10,WDDU,MALL,
,KESTERSON,12/20,45,79,79,1.76,,1.76,30,25,GWTL,SHOV,
,KESTERSON,12/23,69,99,104,1.43,0.07,1.51,39,25,GWTL,SHOV,
,KESTERSON,12/24,37,81,82,2.19,0.03,2.22,32,29,GWTL,MALL,
,LITTLE DRY CR. (UBB),12/20,90,245,249,2.72,0.04,2.77,104,42,MALL,AMWI,
,LITTLE DRY CR. (UBB),12/23,101,221,222,2.19,0.010,2.20,67,37,MALL,AMWI,
,LITTLE DRY CR. (UBB),12/24,66,113,114,1.71,0.02,1.73,32,22,AMWI,GADW,
,LLANO SECO (UBB),12/20,38,79,80,2.08,,2.11,42,14,MALL,GADW,
,LLANO SECO (UBB),12/23,52,68,72,1.31,,1.38,27,10,MALL,AMWI,
,LLANO SECO (UBB),12/24,28,41,41,1.46,,1.46,16,9,AMWI,MALL,
,LOS BANOS,12/20,103,229,233,2.22,0.04,2.26,75,52,GWTL,SHOV,
,LOS BANOS,12/23,155,254,258,1.64,0.01,1.66,66,55,GWTL,RNDU,
,LOS BANOS,12/24,52,124,125,2.38,0.02,2.40,45,24,GWTL,MALL,
,MENDOTA,12/20,198,346,350,1.75,0.01,1.77,150,67,GWTL,SHOV,
,MENDOTA,12/23,310,492,499,1.59,0.01,1.61,229,106,GWTL,SHOV,
,MENDOTA,12/24,79,168,176,2.13,0.01,2.23,73,35,GWTL,MALL,
,MERCED,12/20,36,125,137,3.47,0.33,3.81,42,27,GWTL,SHOV,
,MERCED,12/23,33,90,99,2.73,0.27,3.00,27,25,SHOV,GWTL,
,NORTH FRIETAS,12/20,21,16,16,0.76,,0.76,11,3,GWTL,MALL,
,NORTH FRIETAS,12/23,21,40,41,1.90,0.05,1.95,30,4,MALL,GWTL,
,NORTH FRIETAS,12/24,0,0,0,,,,0,0,,,
,SOUTH FRIETAS,12/20,9,15,15,1.67,,1.67,11,2,MALL,AMWI,
,SOUTH FRIETAS,12/23,20,58,59,2.90,0.05,2.95,33,17,GWTL,MALL,
,SOUTH FRIETAS,12/24,14,59,61,4.21,0.14,4.36,35,17,GWTL,MALL,
,SALT SLOUGH (NO.GL),12/20,53,73,73,1.38,,1.38,25,23,GWTL,MALL,
,SALT SLOUGH (NO.GL),12/23,54,85,89,1.57,0.02,1.65,23,21,SHOV,MALL,
,SALT SLOUGH (NO.GL),12/24,25,75,76,3.00,,3.04,27,26,MALL,GWTL,
,SALTON SEA NWR,12/20,7,14,22,2.00,1.14,3.14,5,2,GWTL,PNTL,
,SALTON SEA NWR,12/23,10,9,18,0.90,0.90,1.80,2,2,PNTL,GWTL,
,SALTON SEA NWR,12/24,8,2,5,0.25,0.38,0.63,1,1,MALL,SHOV,
,SACRAMENTO,12/20,127,311,328,2.45,0.13,2.58,117,58,GADW,SHOV,
,SACRAMENTO,12/23,218,306,348,1.40,0.15,1.60,84,77,GADW,SHOV,
,SACRAMENTO,12/24,108,93,99,0.86,0.05,0.92,21,20,SHOV,GADW,
,SAN JACINTO,12/20,101,90,92,0.89,0.02,0.91,43,16,SHOV,GWTL,
,SAN JACINTO,12/23,127,191,196,1.50,0.02,1.54,111,32,SHOV,GWTL,
,SAN LUIS,12/20,82,98,101,1.20,,-,1.23,52,19,GWTL,MALL
,SAN LUIS,12/23,90,215,217,2.39,0.02,2.41,97,48,GWTL,MALL,
,SAN LUIS,12/24,27,103,103,3.81,,3.81,51,30,GWTL,MALL,
,SHASTA VALLEY,12/20,13,33,34,2.54,0.08,2.62,10,8,BUFH,MALL,
,SHASTA VALLEY,12/23,25,38,38,1.52,,1.52,16,12,MALL,RNDU,
,SHASTA VALLEY,12/24,19,1,2,0.05,,0.11,1,0,RNDU,,
,VOLTA,12/20,25,96,96,3.84,,3.84,27,17,SHOV,MALL,
,VOLTA,12/23,66,140,186,2.12,,2.82,42,36,GWTL,SHOV,
,VOLTA,12/24,16,36,96,2.25,,6.00,13,11,SHOV,MALL,
,WISTER,12/20,151,376,420,2.49,0.29,2.78,120,83,GWTL,SHOV,
,WISTER,12/23,218,485,554,2.22,0.18,2.54,191,93,GWTL,SHOV,
,WISTER,12/24,31,36,38,1.16,0.06,1.23,15,9,SHOV,GWTL,
,WEST BEAR CREEK,12/20,24,7,7,0.29,,0.29,4,1,GWTL,MALL,
,WEST BEAR CREEK,12/23,34,42,49,1.24,0.06,1.44,18,14,GWTL,MALL,
,WEST BEAR CREEK,12/24,6,6,7,1.00,0.17,1.17,2,2,MALL,GWTL,
,ASH CREEK,1/3,5,1,1,0.20,,0.20,1,0,AMWI,,
,ASH CREEK,1/6,10,0,2,,0.20,0.20,0,0,,,
,ASH CREEK,1/7,7,3,14,0.43,1.57,2.00,2,1,MALL,AMWI,
,DELEVAN,1/3,172,684,816,3.98,0.77,4.74,252,128,MALL,GWTL,
,DELEVAN,1/6,189,646,684,3.42,0.20,3.62,193,160,GADW,SHOV,
,DELEVAN,1/7,140,253,277,1.81,0.15,1.98,78,70,SHOV,GADW,
,BUTTE VALLEY,1/3,23,0,14,,0.61,0.61,0,0,,,
,BUTTE VALLEY,1/6,41,0,50,,1.22,1.22,0,0,,,
,BUTTE VALLEY,1/7,21,0,6,,0.29,0.29,0,0,,,
,FINNEY-RAMER,1/3,1,4,4,4.00,,4.00,3,1,GWTL,SHOV,
,FINNEY-RAMER,1/4,1,3,3,3.00,,3.00,2,1,GWTL,SHOV,
,FINNEY-RAMER,1/5,3,3,3,1.00,,1.00,3,0,GWTL,,
,FINNEY-RAMER,1/6,6,8,8,1.33,,1.33,4,3,GWTL,SHOV,
,FINNEY-RAMER,1/7,5,6,6,1.20,,1.20,4,2,GWTL,SHOV,
,COLUSA,1/3,83,226,303,2.72,0.92,3.65,57,45,MALL,GWTL,
,COLUSA,1/6,103,331,345,3.21,0.14,3.35,149,56,GADW,GWTL,
,COLUSA,1/7,94,236,253,2.51,0.18,2.69,64,45,GADW,GWTL,
,GADWALL (NO.GL),1/3,34,97,97,2.85,,2.85,69,13,GWTL,SHOV,
,GADWALL (NO.GL),1/6,41,160,160,3.90,,3.90,103,26,GWTL,SHOV,
,GADWALL (NO.GL),1/7,30,75,75,2.50,,2.50,49,12,GWTL,SHOV,
,GOLD HILLS,1/3,0,0,0,,,,0,0,,,
,GOLD HILLS,1/6,5,2,2,0.40,,0.40,1,1,GWTL,SHOV,
,GOLD HILLS,1/7,5,0,0,,,,0,0,,,
,GOODYEAR SLOUGH,1/3,4,4,4,1.00,,1.00,3,1,PNTL,MALL,
,GOODYEAR SLOUGH,1/6,6,11,11,1.83,,1.83,4,2,PNTL,GWTL,
,GOODYEAR SLOUGH,1/7,6,0,0,,,,0,0,,,
,GRAY LODGE,1/3,183,529,591,2.89,0.14,3.23,109,84,MALL,GWTL,
,GRAY LODGE,1/6,302,534,583,1.77,0.09,1.93,113,109,GADW,MALL,
,GRAY LODGE,1/7,150,212,241,1.41,0.19,1.61,36,34,MALL,AMWI,
,GRIZZLY ISLAND,1/3,97,320,326,3.30,0.02,3.36,125,94,GWTL,AMWI,
,GRIZZLY ISLAND,1/6,189,458,467,2.42,0.005,2.47,189,187,GWTL,AMWI,
,GRIZZLY ISLAND,1/7,86,82,90,0.95,0.09,1.05,34,23,GWTL,AMWI,
,JOICE ISLAND,1/7,7,19,19,2.71,,2.71,10,5,MALL,GWTL,
,HONEY LAKE-DAKIN,1/3,18,12,19,0.67,0.39,1.06,5,3,MALL,GWTL,
,HONEY LAKE-DAKIN,1/6,34,22,31,0.65,0.26,0.91,8,3,MALL,AMWI,
,HONEY LAKE-DAKIN,1/7,16,2,3,0.13,0.06,0.19,1,1,PNTL,REDH,
,HONEY LAKE-FLEMING,1/3,10,4,12,0.40,0.80,1.20,2,1,MALL,GADW,
,HONEY LAKE-FLEMING,1/6,25,1,15,0.04,0.56,0.60,1,10,SHOV,,
,HONEY LAKE-FLEMING,1/7,20,10,0,,0.50,0.50,10,0,,,
,HOWARD SLOUGH (UBB),1/3,58,217,220,3.74,0.05,3.79,53,52,MALL,GWTL,
,HOWARD SLOUGH (UBB),1/6,81,118,130,1.46,0.15,1.60,33,30,MALL,SHOV,
,HOWARD SLOUGH (UBB),1/7,26,33,34,1.27,0.04,1.31,11,8,MALL,GADW,
,KERN,1/3,135,330,330,2.44,,2.44,121,53,SHOV,GADW,
,KERN,1/6,168,388,388,2.31,,2.31,192,45,SHOV,CINT,
,ISLAND SLOUGH,1/3,16,41,41,2.56,,2.56,11,8,GWTL,MALL,
